,id,name,XX,type,measurement,institution,value,year,lat,lon
45,000040104,FREDERICTON-NEEDHAM ,-4.0,PM2.5,UG/M3,Environment Canada,5.243688666874911,2020,45.9575727,-66.6447486
46,000040203,FOREST HILLS,-4.0,OZONE,PPB,Environment Canada,30.19447595745872,2020,,
47,000040203,FOREST HILLS,-4.0,PM2.5,UG/M3,Environment Canada,5.110465974092612,2020,,
48,000040207,SAINT JOHN WEST,-4.0,OZONE,PPB,Environment Canada,30.765917785797395,2020,45.255688,-66.0740871
49,000040207,SAINT JOHN WEST,-4.0,PM2.5,UG/M3,Environment Canada,4.72085276788266,2020,45.255688,-66.0740871
50,000040209,CASTLE ST. SAINT JO,-4.0,PM2.5,UG/M3,Environment Canada,4.686662053787297,2020,33.6911561,-97.5221639
51,000040302,MONCTON,-4.0,NO2,PPB,Environment Canada,2.65368772810171,2020,46.0878165,-64.7782313
52,000040302,MONCTON,-4.0,OZONE,PPB,Environment Canada,22.968192140927066,2020,46.0878165,-64.7782313
53,000040302,MONCTON,-4.0,PM2.5,UG/M3,Environment Canada,5.07233909115731,2020,46.0878165,-64.7782313
54,000040901,ST ANDREWS,-4.0,OZONE,PPB,Environment Canada,28.486732259941,2020,56.3397753,-2.7967214
55,000040901,ST ANDREWS,-4.0,PM2.5,UG/M3,Environment Canada,3.4568724989931034,2020,56.3397753,-2.7967214
56,000041302,BATHURST,-4.0,NO2,PPB,Environment Canada,0.8469819929438049,2020,-33.4192822,149.5775008
57,000041302,BATHURST,-4.0,OZONE,PPB,Environment Canada,27.795314891029324,2020,-33.4192822,149.5775008
58,000041302,BATHURST,-4.0,PM2.5,UG/M3,Environment Canada,4.600401548318475,2020,-33.4192822,149.5775008
59,000041501,EDMUNDSTON QUEEN ST.,-4.0,PM2.5,UG/M3,Environment Canada,5.488986266454526,2020,47.3741136,-68.31699940000001
60,000050113,Chomedey,-5.0,OZONE,PPB,Canada-Quebec1,22.61610138682582,2020,45.53836340000001,-73.7362491
61,000050113,Chomedey,-5.0,OZONE,PPB,Meteorological Service of Canada,30.49722760579792,2020,45.53836340000001,-73.7362491
62,000050113,Laval - Chomedey,-5.0,OZONE,PPB,Canada-Quebec1,21.284480386501823,2020,45.53836340000001,-73.7362491
63,000050119,Bourassa,-5.0,OZONE,PPB,Canada-Quebec1,22.134259259259263,2020,43.6590993,-70.2568189
64,000050119,Bourassa,-5.0,OZONE,PPB,Meteorological Service of Canada,29.498203234058103,2020,43.6590993,-70.2568189
65,000050119,Longueuil,-5.0,OZONE,PPB,Canada-Quebec1,22.940168925033472,2020,45.5369442,-73.51071309999999
66,000050204,Gatineau - Hull,-5.0,OZONE,PPB,Canada-Quebec1,21.398821613943745,2020,45.428731,-75.71336579999999
67,000050204,Hull (Ile),-5.0,OZONE,PPB,Canada-Quebec1,22.45329682920662,2020,45.4325756,-75.7196364
68,000050204,Hull (Ile),-5.0,OZONE,PPB,Meteorological Service of Canada,30.76566209063717,2020,45.4325756,-75.7196364
69,000050308,Des Sables,-5.0,OZONE,PPB,Canada-Quebec1,21.20272601794341,2020,45.5436111,-73.5963889
70,000050308,Des Sables,-5.0,OZONE,PPB,Meteorological Service of Canada,27.865838134975267,2020,45.5436111,-73.5963889
71,000050308,Québec - Vieux-Limoi,-5.0,OZONE,PPB,Canada-Quebec1,18.09771857551993,2020,46.82158200000001,-71.228554
72,000050308,Vieux Limoilou,-5.0,OZONE,PPB,Canada-Quebec1,19.179633015379668,2020,46.82158200000001,-71.228554
73,000050311,Parc Primavere,-5.0,NO2,PPB,Canada-Quebec1,2.8278412204345997,2020,46.7748901,-71.36948129999999
74,000050311,Parc Primavere,-5.0,NO2,PPB,Environment Canada,5.166415067267601,2020,46.7748901,-71.36948129999999
75,000050311,Parc Primavere,-5.0,OZONE,PPB,Canada-Quebec1,17.830296352280467,2020,46.7748901,-71.36948129999999
76,000050311,Parc Primavere,-5.0,OZONE,PPB,Environment Canada,28.09976609644361,2020,46.7748901,-71.36948129999999
77,000050311,Parc Primavere,-5.0,PM2.5,UG/M3,Canada-Quebec1,6.9184891241735125,2020,46.7748901,-71.36948129999999
78,000050311,Parc Primavere,-5.0,PM2.5,UG/M3,Environment Canada,10.686652742725403,2020,46.7748901,-71.36948129999999
79,000050311,Québec - École Les P,-5.0,NO2,PPB,Canada-Quebec1,5.269126445145121,2020,46.8412205,-71.4293155
80,000050311,Québec - École Les P,-5.0,OZONE,PPB,Canada-Quebec1,18.03421406338427,2020,46.8412205,-71.4293155
81,000050311,Québec - École Les P,-5.0,PM2.5,UG/M3,Canada-Quebec1,9.707734775599803,2020,46.8412205,-71.4293155
82,000050404,Parc Cambron,-5.0,OZONE,PPB,Canada-Quebec1,17.839825461748216,2020,45.41309769999999,-71.8747944
83,000050404,Parc Cambron,-5.0,OZONE,PPB,Meteorological Service of Canada,31.602951034786734,2020,45.41309769999999,-71.8747944
84,000050404,Sherbrooke - Parc Ca,-5.0,OZONE,PPB,Canada-Quebec1,21.62838819545414,2020,45.2934624,-72.10310419999999
85,000050604,Parc Tremblay,-5.0,OZONE,PPB,Canada-Quebec1,18.301140788799955,2020,45.5295614,-73.7484849
86,000050604,Parc Tremblay,-5.0,OZONE,PPB,Meteorological Service of Canada,29.792185179063345,2020,45.5295614,-73.7484849
87,000050604,Rouyn-Noranda - Parc,-5.0,OZONE,PPB,Canada-Quebec1,23.25757316099312,2020,48.2816808,-79.027861
88,000051501,Saint-Zéphirin-de-Co,-5.0,OZONE,PPB,Canada-Quebec1,21.481841869458588,2020,46.0567117,-72.6228252
89,000051501,Saint-Zéphirin-de-Co,-5.0,PM2.5,UG/M3,Canada-Quebec1,5.724373175077713,2020,46.0567117,-72.6228252
90,000051501,Zéphirin,-5.0,OZONE,PPB,Canada-Quebec1,20.41416111766344,2020,46.059798,-72.62634
91,000051501,Zéphirin,-5.0,OZONE,PPB,Meteorological Service of Canada,32.34706919143762,2020,46.059798,-72.62634
92,000051501,Zéphirin,-5.0,PM2.5,UG/M3,Canada-Quebec1,4.655822661412483,2020,46.059798,-72.62634
93,000051501,Zéphirin,-5.0,PM2.5,UG/M3,Meteorological Service of Canada,6.817551562477126,2020,46.059798,-72.62634
94,000052001,Charette,-5.0,OZONE,PPB,Canada-Quebec1,17.523196192496133,2020,46.4447258,-72.92088
95,000052001,Charette,-5.0,OZONE,PPB,Meteorological Service of Canada,30.38480733036934,2020,46.4447258,-72.92088
96,000052201,Brossard,-5.0,OZONE,PPB,Canada-Quebec1,20.09722222222222,2020,45.4514357,-73.4619103
97,000052201,Brossard,-5.0,OZONE,PPB,Meteorological Service of Canada,30.947917437434,2020,45.4514357,-73.4619103
98,000052201,Saint-Simon,-5.0,OZONE,PPB,Canada-Quebec1,20.62587145969499,2020,,
99,000052301,Saint-Faustin,-5.0,OZONE,PPB,Canada-Quebec1,19.282494445388902,2020,46.09244899999999,-74.47332519999999
100,000052301,Saint-Faustin,-5.0,OZONE,PPB,Meteorological Service of Canada,33.54315867148788,2020,46.09244899999999,-74.47332519999999
101,000052301,Saint-Faustin,-5.0,PM2.5,UG/M3,Canada-Quebec1,5.154685393955523,2020,46.09244899999999,-74.47332519999999
102,000052301,Saint-Faustin,-5.0,PM2.5,UG/M3,Meteorological Service of Canada,5.079351112673464,2020,46.09244899999999,-74.47332519999999
103,000052301,Saint-Faustin-Lac-Ca,-5.0,OZONE,PPB,Canada-Quebec1,25.175785508346177,2020,46.09244899999999,-74.47332519999999
