id,type,measurement,lat,lon,value,AQI_level
000030901,OZONE_AQI,AQI,45.6819,-62.6953,27.50666224065876,good
000030901,PM2.5,UG/M3,45.6819,-62.6953,4.487222235439596,
000030901,PM25_AQI,AQI,45.6819,-62.6953,18.511789480700145,good
000031101,OZONE,PPB,45.04,-64.29,29.174613204455007,
000031101,OZONE_AQI,AQI,45.04,-64.29,26.546757539212965,good
000031101,PM2.5,UG/M3,45.04,-64.29,5.16397672555512,
000031101,PM25_AQI,AQI,45.04,-64.29,21.234267767757512,good
000040104,NO2,PPB,45.957289,-66.645236,2.228874788742166,
000040104,NO2_AQI,AQI,45.957289,-66.645236,2.168316761893914,good
000040104,OZONE,PPB,45.957289,-66.645236,26.32849348505485,
000040104,OZONE_AQI,AQI,45.957289,-66.645236,23.510242910755352,good
000040104,PM2.5,UG/M3,45.957289,-66.645236,5.243421959950596,
000040104,PM25_AQI,AQI,45.957289,-66.645236,21.294489772740672,good
000040203,NO2_AQI,AQI,45.3092,-66.0092,2.3576465525083887,good
000040203,OZONE,PPB,45.3092,-66.0092,30.193386484833923,
000040203,OZONE_AQI,AQI,45.3092,-66.0092,27.43993780919388,good
000040203,PM2.5,UG/M3,45.3092,-66.0092,5.110533908875221,
000040203,PM25_AQI,AQI,45.3092,-66.0092,20.886457007470263,good
000040207,NO2_AQI,AQI,45.2536,-66.0803,2.6127328802534797,good
000040207,OZONE,PPB,45.2536,-66.0803,30.765004440386768,
000040207,OZONE_AQI,AQI,45.2536,-66.0803,27.972994355413398,good
000040207,PM2.5,UG/M3,45.2536,-66.0803,4.72078986530617,
000040207,PM25_AQI,AQI,45.2536,-66.0803,19.35857197395787,good
000040209,PM2.5,UG/M3,45.2803,-66.0561,4.686538764737378,
000040209,PM25_AQI,AQI,45.2803,-66.0561,19.17042902514709,good
000040302,NO2,PPB,46.11,-64.79,2.6538714036250592,
000040302,NO2_AQI,AQI,46.11,-64.79,2.57128694246197,good
000040302,OZONE,PPB,46.11,-64.79,22.964938819671026,
000040302,OZONE_AQI,AQI,46.11,-64.79,20.891148407693485,good
000040302,PM2.5,UG/M3,46.11,-64.79,5.0714609711895156,
000040302,PM25_AQI,AQI,46.11,-64.79,20.860565119538066,good
000040901,OZONE,PPB,45.0892,-67.0786,28.485182340456294,
000040901,OZONE_AQI,AQI,45.0892,-67.0786,25.907758595888854,good
000040901,PM2.5,UG/M3,45.0892,-67.0786,3.4567542421493034,
000040901,PM25_AQI,AQI,45.0892,-67.0786,14.205386036612618,good
000041302,NO2,PPB,47.6094,-65.6333,0.8468486394816472,
000041302,NO2_AQI,AQI,47.6094,-65.6333,0.8384363561679788,good
000041302,OZONE,PPB,47.6094,-65.6333,27.795493534346555,
000041302,OZONE_AQI,AQI,47.6094,-65.6333,25.283651635305176,good
000041302,PM2.5,UG/M3,47.6094,-65.6333,4.6000568421993115,
000041302,PM25_AQI,AQI,47.6094,-65.6333,18.80521429496583,good
000041501,PM2.5,UG/M3,47.363195000000005,-68.32230200000001,5.48800498626129,
000041501,PM25_AQI,AQI,47.363195000000005,-68.32230200000001,22.430661780360094,good
000050113,NO2_AQI,AQI,45.5472,-73.7472,5.511962831781236,good
000050113,OZONE,PPB,45.5472,-73.7472,24.770550614030803,
