,Unique_ID,lat,lon
0,S_000010102,47.65279999999999,-52.8167
1,S_000010401,47.508910175,-52.79794544999999
2,S_000010501,49.00411145,-55.77858375
3,S_000010601,53.30394565,-60.35482105
4,S_000010602,48.95224,-57.92207
5,S_000010801,50.7091578,-57.360516700000005
6,S_000010901,47.1155121,-55.187773225
7,S_000011002,52.94539446666666,-66.91038766666667
8,S_000020104,46.23968222222222,-63.130782933333336
9,S_000020301,46.4783,-63.9869
10,S_000020401,44.323100125,-66.26032359999999
11,S_000030120,44.72447546428571,-63.483769
12,S_000030201,45.6190802375,-61.3609266125
13,S_000030502,44.41103725,-65.20549125
14,S_000030701,45.0242701,-64.955
15,S_000030901,45.680937,-62.704788625000006
16,S_000031101,45.05107345,-64.35134205
17,S_000040104,45.95737005714286,-66.64509674285715
18,S_000040203,45.3092,-66.0092
19,S_000040207,45.254122,-66.078746775
20,S_000040209,41.41725203333333,-76.54478796666666
21,S_000040302,46.10366185714286,-64.78663751428573
22,S_000041501,47.36683453333333,-68.32053446666667
23,S_000050113,45.54572723333334,-73.74537485
24,S_000050119,45.31752705555556,-73.13609244444444
25,S_000050204,45.43551184444445,-75.7239669111111
26,S_000050308,46.679443677777776,-71.48561587777778
27,S_000050311,46.7854651,-71.3796128
28,S_000050404,45.39276001666666,-71.91258309999999
29,S_000051501,46.04735161666666,-72.64819419999999
30,S_000052001,46.44305645,-72.89981999999999
31,S_000052201,45.445183925,-73.466927575
32,S_000052301,46.0522347,-74.47932755999999
33,S_000052401,45.61387608333333,-75.97609209999999
34,S_000053301,46.67431005,-71.95823905
35,S_000053501,43.765796825,-82.706234875
36,S_000053701,44.94441091666667,-71.6745253
37,S_000053801,45.900915,-71.94788625000001
38,S_000053901,47.642943875,-72.307935775
39,S_000054201,49.8122025,-74.94542
40,S_000054401,45.1149508,-74.29212555
41,S_000054703,46.349869516666665,-72.4337515
42,S_000055501,45.05264325,-72.8556515
43,S_000060104,45.42899888,-75.68263793
44,S_000060204,41.18421981,-94.97522406
45,S_000060304,44.219867,-76.521128
46,S_000060424,43.65977138,-79.38620093
47,S_000060512,39.2029953,-84.512126
48,S_000060610,45.25938703999999,-78.12702525
49,S_000060709,46.52248345,-84.32085627999999
50,S_000061009,42.9855449,-82.39871573
51,S_000061302,43.15862235,-79.23855878
52,S_000061402,43.14002601,-80.28659762
53,S_000061502,43.44482185,-80.50084011000001
54,S_000062001,46.3175,-79.4453
55,S_000063301,46.87939905,-55.955323580000005
56,S_000063701,43.32533191,-81.74661726000001
57,S_000064101,46.42847209999999,-85.14397227500001
58,S_000064401,44.2325,-79.7814
59,S_000065001,44.38783386,-79.58540729333333
60,S_000065201,45.34067775000001,-80.03689490000001
61,S_000065301,42.66999059,-81.17997987
62,S_000065801,42.18693691,-78.53394992
63,S_000070119,49.92995974285714,-97.31822142857142
64,S_000070203,43.58380028571429,-94.88090705714284
65,S_000070301,54.765192125,-101.875528675
66,S_000080110,50.4488028,-104.617398575
67,S_000080211,52.1415505,-106.664864425
68,S_000080402,53.201694,-105.75203
69,S_000081001,47.3672956,-111.527121825
70,S_000090120,53.5172415,-113.57200763333331
71,S_000090121,53.5468415,-113.41000763333336
72,S_000090130,53.54553557142857,-113.49766368571429
73,S_000090133,53.56521660000001,-113.56120396666668
74,S_000090222,51.0905269375,-114.15221690625
75,S_000090228,51.04671165625,-114.07413940625
76,S_000090302,52.29709545,-113.79529022500002
77,S_000090402,50.05278005,-110.68033187499998
78,S_000090502,49.7111964,-112.8117341
79,S_000090601,53.69825455,-113.2215691
80,S_000090606,53.80115809375,-112.9272905
81,S_000090702,56.75220000000001,-111.4761
82,S_000090801,57.1883645,-111.63964627499998
83,S_000091101,51.227206375,-112.321016625
84,S_000091301,49.7570007,-110.05160005
85,S_000091401,53.14573933333333,-115.12138083333332
86,S_000091501,55.1996437,-119.4050002
87,S_000091601,53.60767733333333,-115.873445
88,S_000091701,45.75378121875001,-111.3129436875
89,S_000091801,58.71113425000001,-111.16747425
90,S_000091901,47.97798475,-110.00555075
91,S_000092901,50.625541850000005,-105.032663975
92,S_000094202,49.23105913333333,-100.97225093333331
93,S_000094301,54.41364182499999,-110.22824515
94,S_000100111,49.28066326666666,-122.8490724
95,S_000100119,49.2155189,-122.9854668
96,S_000100132,49.324241175,-123.084052
97,S_000100134,49.18639000000001,-123.15222
98,S_000100135,49.28734376666667,-122.79169275
99,S_000100140,49.01191125,-123.08196907499998
100,S_000100202,53.9147,-122.74190000000002
101,S_000100304,48.4328686,-123.359700325
102,S_000100308,48.430557075,-123.492993975
103,S_000100401,50.674642000000006,-120.33168916666666
104,S_000100701,49.86123795,-119.4759704
105,S_000101003,49.044694425,-122.30840742499998
106,S_000101005,49.02239621249999,-122.3406727625
107,S_000101101,49.15656752499999,-121.94328665
108,S_000101202,49.2387262,-122.704046625
109,S_000101301,49.09556,-122.56694
110,S_000101501,49.21572043333333,-122.58468301666667
111,S_000101603,49.70504493333333,-123.15074646666666
112,S_000101701,52.97632307222222,-122.50172116666666
113,S_000102001,48.77460585,-122.969129525
114,S_000102102,49.200389175000005,-123.996321
115,S_000102303,49.889180966666665,-124.56260896666667
116,S_000102401,50.49557374285714,-117.93577997142856
117,S_000102503,54.521636,-128.60759166666665
118,S_000102602,49.260799,-124.805603
119,S_000102701,52.1330015,-122.150115375
120,S_000103502,49.31758255,-117.661732875
121,S_000103901,54.05478976666666,-128.67312566666666
122,S_000103905,54.00312426666667,-128.6622161
123,S_000104003,50.240109475,-119.2800862
124,S_000104804,48.7720082,-123.6981608
125,S_000105001,50.144027300000005,-122.96092575
126,S_000105301,49.44076185714287,-123.48613761428574
127,S_000105504,56.24483196666667,-120.85624423333331
128,S_000106701,48.87461629999999,-123.65141913333332
129,S_000106900,54.0155266,-124.00839603333333
130,S_000107100,49.682499,-124.996101
131,S_004AF1010001,34.5547058,69.20556
132,S_010030010,30.497417975,-87.878781525
133,S_010499991,39.30853279999999,-118.3970798
134,S_010510004,32.539176725,-86.24205885
135,S_010550011,33.893617325,-89.159060275
136,S_010730023,33.53929568,-86.81314268
137,S_010731003,33.4856,-86.915
138,S_010731005,33.33120113,-87.00287328
139,S_010732003,33.50098849999999,-86.92439449
140,S_010732059,34.1209292,-93.0537839
141,S_010735003,35.3718526,-89.1622558
142,S_010736002,33.377026099999995,-89.41833894999999
143,S_010736004,33.53501754,-86.80524254
144,S_010890014,34.67628987,-86.64689557
145,S_010890022,34.7728114,-86.76526952500001
146,S_010970003,32.76237843333333,-90.70317506666665
147,S_011011002,32.39977919,-86.27319984
148,S_011030011,34.30246824999999,-86.16831369
149,S_011130003,32.43703571,-85.00030393999998
150,S_011170004,33.3169,-86.825
151,S_011190003,32.36253,-88.27792
152,S_011250010,33.119510175,-87.48706837499999
153,S_020680003,47.64385266666667,-116.98496233333334
154,S_021100004,58.38858801,-134.56637068
155,S_032BAA010002,-34.586094800000005,-58.40558636666666
156,S_040030011,31.36612426428572,-109.73374043571428
