Unique_ID,label,prediction
ZC_77578,23.468961715698242,25.539400100708008
S_000100701,21.298521041870117,29.509151458740234
ZC_48878,27.897693634033203,28.98414421081543
ZC_30268,28.010828018188477,24.431241989135742
ZC_75706,27.217435836791992,24.471935272216797
S_290030001,32.396697998046875,29.049020767211914
ZC_3461,22.902965545654297,24.421188354492188
ZC_92114,29.284534454345703,25.79952049255371
ZC_5652,33.96881103515625,31.631893157958984
ZC_91739,33.03861618041992,34.790382385253906
ZC_77433,23.441265106201172,29.39940643310547
ZC_92201,40.56184005737305,37.63233947753906
ZC_75226,25.182092666625977,24.574195861816406
ZC_21737,30.81002426147461,28.495697021484375
ZC_92250,31.598209381103516,29.6405086517334
S_000100110,19.082481384277344,26.099273681640625
ZC_7901,23.944889068603516,24.364723205566406
ZC_8861,26.25476837158203,27.462467193603516
ZC_8518,26.199913024902344,25.74028778076172
ZC_3217,31.327795028686523,29.410953521728516
S_220990001,26.78623390197754,26.41141128540039
ZC_21811,32.07428741455078,28.169708251953125
ZC_4555,32.334964752197266,29.1154842376709
ZC_15401,24.73284339904785,25.643705368041992
ZC_27417,27.48970603942871,27.93855857849121
ZC_64029,29.907752990722656,28.130828857421875
ZC_20176,27.551298141479492,27.078224182128906
ZC_65714,28.240150451660156,27.960113525390625
ZC_14873,30.938833236694336,29.64466094970703
C_E San Bernardino,43.620426177978516,32.3629035949707
ZC_85215,37.085819244384766,29.1016902923584
ZC_6063,35.497772216796875,30.497861862182617
ZC_33801,25.199960708618164,25.56694984436035
S_060890007,23.918811798095703,24.997222900390625
ZC_27313,27.48970603942871,28.667144775390625
ZC_60169,30.38353729248047,29.450237274169922
ZC_23047,25.56943702697754,25.245391845703125
ZC_55901,29.552410125732422,28.87102508544922
ZC_6051,26.22991371154785,26.951717376708984
ZC_21918,31.76767921447754,28.34511375427246
ZC_27613,26.197723388671875,25.196449279785156
ZC_28314,27.31678009033203,26.944395065307617
S_800150991,31.39936065673828,27.162139892578125
ZC_12148,27.569244384765625,26.89881706237793
S_130670003,25.76807403564453,27.323715209960938
ZC_51526,16.08795166015625,32.089962005615234
ZC_12844,29.580778121948242,27.22610092163086
ZC_6794,29.86870574951172,29.998830795288086
ZC_23456,27.20021629333496,26.237600326538086
S_550290004,33.117061614990234,28.69017219543457
S_421010004,26.888795852661133,25.263715744018555
C_Hammond-Gary,24.367900848388672,26.94715690612793
C_Lenoir County,26.4083309173584,25.852994918823242
ZC_22973,36.760406494140625,28.503238677978516
ZC_49401,32.15536117553711,27.68655776977539
ZC_14883,33.71881103515625,28.9412784576416
ZC_2860,29.159772872924805,28.202695846557617
ZC_21778,27.06146812438965,29.416805267333984
ZC_30904,24.66217613220215,25.985071182250977
ZC_23701,27.20021629333496,27.713653564453125
ZC_94102,25.479867935180664,25.925296783447266
C_Goleta,25.165626525878906,24.478071212768555
ZC_2330,30.45090103149414,28.472824096679688
ZC_78586,23.919757843017578,25.301769256591797
ZC_5680,33.96881103515625,31.53595542907715
ZC_12019,29.580778121948242,25.54973793029785
ZC_61564,25.74929428100586,29.14807891845703
ZC_33859,25.199960708618164,24.417476654052734
ZC_57104,29.137096405029297,27.359230041503906
ZC_65110,30.208948135375977,27.790802001953125
ZC_3086,26.53066635131836,29.74899673461914
C_Rowan County,27.765064239501953,25.705923080444336
ZC_13042,28.065494537353516,27.33498191833496
ZC_98323,21.957855224609375,22.56911277770996
ZC_16055,26.981569290161133,27.267240524291992
S_482450102,27.846675872802734,26.82678985595703
ZC_97233,19.783554077148438,22.65973472595215
ZC_91040,24.049972534179688,25.540355682373047
ZC_23690,28.62143898010254,26.62826919555664
ZC_15333,24.73284339904785,26.725109100341797
ZC_33426,26.685205459594727,25.55422592163086
ZC_16845,26.459135055541992,26.352861404418945
ZC_12923,33.713191986083984,29.946422576904297
ZC_2128,26.156070709228516,25.609535217285156
S_840081230013,30.883907318115234,34.61154556274414
ZC_13661,29.840572357177734,29.328550338745117
ZC_17067,18.99723243713379,25.208877563476562
