uid,lat,lon,name,aqi
2649,59.91132,10.70407,"Hjortnes, Oslo, Norway",-
2654,59.93255,10.66984,"Smestad, Oslo, Norway",-
2637,59.13812,9.65212,"Sverresgate, Grenland, Norway",-
12727,60.281401893463,15.989097740028,"Hedemora Gussarvsgatan, Sweden",-
9329,58.411399841309,15.630399703979,"Linköping Hamngatan, Sweden",-
7966,59.832382202148,18.631313323975,"Norr Malma, Sweden",-
8265,59.20133972168,17.63475227356,"Södertälje Birkakorset, Sweden",-
12517,59.314603382532,18.077138347674,"Stockholm Folkungagatan 70, Sweden",-
7968,59.443534851074,17.922357559204,"Sollentuna E4 Häggvik, Sweden",-
12480,59.446378991805,17.955032558929,"Sollentuna Danderydsvägen, Sweden",-
12518,60.085833334982,17.505277771462,"Norunda Stenen, Sweden",-
7969,59.198120117188,17.621084213257,"Södertälje Turingegatan, Sweden",-
10011,59.340826950283,18.058253681278,"Stockholm Sveavägen 59 Gata, Sweden",-
10015,59.857094126539,17.646309252384,"Uppsala Kungsgatan 67, Sweden",-
10012,59.609871499472,16.550459623257,"Västerås Melkertorget, Sweden",-
7864,59.316940307617,18.057500839233,"Stockholm Södermalm, Sweden",-
10523,59.340500235637,18.037016134125,"Stockholm St Eriksgatan 83, Sweden",-
10009,59.317222433112,18.048660347204,"Stockholm Hornsgatan 108 Gata, Sweden",-
12478,59.860521276702,17.637596702596,"Uppsala Dragarbrunnsgatan 23 tak, Sweden",-
4921,61.49873,23.73569,"Pirkankatu, Tampere, Finland",68
4930,60.46744,22.0284,"Naantalin keskusta, Naantali, Finland",8
4938,60.40831,22.37835,"Kaarina, Kaarina, Finland",10
4922,61.31495,22.13671,"Kaleva, Harjavalta, Finland",15
4923,61.33169,22.1433,"Pirkkala, Harjavalta, Finland",11
10006,60.47038,22.1902,"Ihala, Raisio, Finland",4
4920,61.49307,23.76938,"Linja-autoasema, Tampere, Finland",48
8506,60.29678,22.29927,"Parainen, Länsi-Turunmaa, Finland",6
4968,61.12986,21.4997,"Hallikatu, Rauma, Finland",3
4918,61.50854,23.67583,"Epila 2, Tampere, Finland",65
4919,61.4991,23.80221,"Kaleva, Tampere, Finland",49
5719,61.5,23.766667,Tampere,68
9456,58.376218,21.844614,"Vilsandi, Estonia",34
4928,59.77909,21.37479,"Utö, Länsi-Turunmaa, Finland",27
10005,61.48226,21.81329,"Paanakedonkatu, Pori, Finland",9
4959,60.99934,24.45538,"Niittykatu, Hämeenlinna, Finland",14
4907,60.31439,24.68486,"Luukki, Espoo, Finland",62
13311,60.24903,24.06947,"Harjula, Lohja, Finland",55
9458,59.402749,27.74996,"Sillamäe, Estonia",59
13308,60.50219,26.97073,"siirrettävä, Metsäkulma, Kotka, Finland",54
8504,60.98746,25.51678,"Hollola Kansankatu siirrettävä, Hollola, Finland",60
9459,59.457134,24.707292,"Mobair2, Estonia",70
9464,59.503185,24.911221,"Muuga 3, Estonia",70
4909,60.16964,24.93924,"Mannerheimintie, Helsinki, Finland",66
7962,60.19644,24.95198,"Mäkelänkatu, Helsinki, Finland",61
12476,59.375319,27.870798,"Sinimäe, Estonia",57
4933,60.53002,27.6754,"Virolahti 2, Virolahti, Finland",64
9461,59.447293,24.715126,"Rahu, Estonia",70
4910,60.22393,25.10244,"Vartiokylä Huivipolku, Helsinki, Finland",60
4962,60.4655,26.93893,"Kirjastotalo, Kotka, Finland",56
9452,59.515317,25.928164,"Lahemaa, Estonia",23
9999,60.87045,26.7011,"Kankaan Koulu, Kouvola, Finland",43
9454,59.414133,24.649218,"Õismäe, Estonia",56
9460,59.43107,24.760317,"Liivalaia, Estonia",70
4908,60.18739,24.9506,"Kallio 2, Helsinki, Finland",63
4960,61.8652,25.19735,"Seppolantie, Jämsä, Finland",11
9455,58.370596,26.734879,"Tartu, Estonia",-
9457,58.701433,26.7547,"Saarejärve, Estonia",59
4942,60.99129,25.66579,"Saimaankatu, Lahti, Finland",60
4966,61.68636,27.27334,"Porrassalmenkatu, Mikkeli, Finland",11
4906,60.22024,24.81133,"Leppävaara 4, Espoo, Finland",50
4911,60.28995,25.03953,"Tikkurila 3, Vantaa, Finland",59
9451,59.409579,27.278658,"Kohtla-Järve, Estonia",50
4943,60.96704,25.65489,"Laune, Lahti, Finland",19
5717,60.1733244,24.9410248,Helsinki,66
4958,60.63273,24.86124,"Hyvinkää, Hyvinkää, Finland",4
5720,61.1704554,28.7720669,Imatra,55
7964,61.05748,28.24585,"Tirilä Pekkasenkatu, Lappeenranta, Finland",51
5721,61.0549412,28.1896259,Lappeenranta,12
4944,61.18892,28.77012,"Mansikkala, Imatra, Finland",15
9453,59.37613,28.179052,"Narva, Estonia",-
4946,61.11709,28.49849,"Joutsenon keskusta, Lappeenranta, Finland",15
4949,61.15304,28.81014,"Teppanala, Imatra, Finland",55
4965,61.07194,28.26409,"Lauritsala, Lappeenranta, Finland",13
4945,61.23807,28.87369,"Rautionkylä, Imatra, Finland",14
4947,61.12536,28.45078,"Pulp, Lappeenranta, Finland",57
4954,61.05576,28.18431,"Lappeenrannan keskusta 4, Lappeenranta, Finland",12
4964,61.04082,28.1765,"Ihalainen, Lappeenranta, Finland",13
8833,54.029194,-128.70269,"Kitimat Haul Road, British Comlumbia, Canada",10
8834,54.066909,-128.639131,"Kitimat Whitesail, British Comlumbia, Canada",10
4616,54.05389,-128.671436,"Kitimat Riverlodge, British Comlumbia, Canada",10
8196,54.52167,-128.6075,"Terrace Skeena Middle School, British Comlumbia, Canada",10
4207,54.230731,-125.764354,"Burns Lake Fire Centre, British Comlumbia, Canada",6
4248,54.0163,-124.0061,"Vanderhoof, British Comlumbia, Canada",18
4202,54.4128,-127.0317,"Telkwa, British Comlumbia, Canada",20
4208,54.398289,-126.641604,"Houston Firehall, British Comlumbia, Canada",18
10131,56.200998,-120.9026,"Fort St John North Camp, British Comlumbia, Canada",31
8842,56.231213,-121.41944,"Peace Valley Attachie Flat Upper Terrace, British Comlumbia, Canada",33
8839,56.244722,-120.856111,"Fort St John Key Learning Centre, British Comlumbia, Canada",36
8840,56.231792,-120.853895,"Fort St John 85th Avenue, British Comlumbia, Canada",35
8841,56.200587,-120.825713,"Fort St John Old Fort, British Comlumbia, Canada",31
5475,55.1963,-119.3968,"Beaverlodge, Alberta, Canada",6
5493,55.1766364,-118.8077555,"Grande Prairie - Henry Pirker, Alberta, Canada",6
5501,55.405,-118.275,"Smoky Heights, Alberta, Canada",2
12500,55.082835,-119.12579,"Wembley, Alberta, Canada",2
12505,56.491214,-116.428548,"Cadotte Lake, Alberta, Canada",3
10709,56.9967,-111.5926,"Buffalo Viewpoint, Alberta, Canada",0
